,,time,time,std_time,std_time,error,error
,,mean,std,mean,std,mean,std
ode_method,stations_per_cell,,,,,,
BDF,5,1552.6040887435508,592.6706493839996,4406.993968514521,2739.550402043824,0.006827204364235952,0.0013473304405006608
BDF,10,3126.0711822205135,1144.512196920771,4406.993968514521,2739.550402043824,0.0066914127688357085,0.0013211029826720483
BDF,15,4577.363811628371,1698.0756603328493,4406.993968514521,2739.550402043824,0.0065699086863965405,0.001316510996995272
RK45,5,309.7430116850569,124.3883918635827,81.52713268218464,42.372279994176104,0.006830657250591567,0.0013506251674229588
RK45,10,526.3250059347986,372.70723317759024,81.52713268218464,42.372279994176104,0.0066943171041245544,0.001321615917017285
RK45,15,704.5440374361586,504.40370184810246,81.52713268218464,42.372279994176104,0.006570995016989368,0.0013196369752978513
