,,,,time,time,std_time,std_time,error_sum_metric,error_sum_metric,error_max_metric,error_max_metric
,,,,mean,std,mean,std,mean,std,mean,std
ode_method,stations_per_cell,spatial_simplification,delta_t_ratio_or_epsilon,,,,,,,,
BDF,5,strict,0.025,5.076533526531421,2.515275961621799,908.7938042691485,657.8202648983981,0.06988873125363666,0.026431156037052164,0.015334537181333083,0.006796863784724358
BDF,5,strict,0.05,3.658062912173632,1.7787612629812328,908.7938042691485,657.8202648983981,0.0662466600464362,0.024993370425792666,0.01471790822977548,0.006982173270786414
BDF,5,strict,0.1,2.887540804321266,1.418390244997271,908.7938042691485,657.8202648983981,0.06255199307540073,0.02313302462573705,0.014309832963590912,0.006930086062938583
BDF,10,strict,0.025,2.528466436666186,1.1871412145216045,908.7938042691485,657.8202648983981,0.07051819413593301,0.026685298439927976,0.015455181551352863,0.006739395028871387
BDF,10,strict,0.05,1.8542118113194315,0.8721573114518628,908.7938042691485,657.8202648983981,0.0670434401955841,0.02544108628482795,0.014889279778270934,0.006909130756171696
BDF,10,strict,0.1,1.5209633666820435,0.731154210316921,908.7938042691485,657.8202648983981,0.06300073831757387,0.023568957566214677,0.014395949979861766,0.006917376958400546
BDF,15,strict,0.025,1.8350101921076665,0.8572202866675597,908.7938042691485,657.8202648983981,0.07087675191419164,0.02685586119705975,0.015404358567399065,0.006768169306328023
BDF,15,strict,0.05,1.316581312778107,0.6213177528423118,908.7938042691485,657.8202648983981,0.06753800048310445,0.02575714596990919,0.014870985297599462,0.0069432586440123486
BDF,15,strict,0.1,1.0965699326193112,0.5305029236957299,908.7938042691485,657.8202648983981,0.06335799784475203,0.023945726304531727,0.014313433191766733,0.007011642022328063
RK45,5,strict,0.025,2.0755590277188807,0.9884606369279509,30.728040237110907,21.86573158940184,0.06989387994467118,0.026433876387958275,0.015335378427811885,0.0067970630987484746
RK45,5,strict,0.05,1.421990493631317,0.6898639799890276,30.728040237110907,21.86573158940184,0.0662514310413626,0.02499581269461777,0.014719405379298011,0.006982274422921651
RK45,5,strict,0.1,1.2246380432903308,0.6092839016020767,30.728040237110907,21.86573158940184,0.06255621300246823,0.023135377283413756,0.014310849833353493,0.006930015514025171
RK45,10,strict,0.025,1.0850597749457265,0.5177383846698641,30.728040237110907,21.86573158940184,0.07052309681719476,0.02668782627391704,0.015456620643002185,0.006739600054481729
RK45,10,strict,0.05,0.7488355075214197,0.3612469532960009,30.728040237110907,21.86573158940184,0.06704804364400899,0.02544353671149056,0.014890795343166015,0.0069093874593340035
RK45,10,strict,0.1,0.6513992292596263,0.3228971998221037,30.728040237110907,21.86573158940184,0.06300476956939145,0.023571352273061476,0.014398164703378636,0.006917493145515329
RK45,15,strict,0.025,0.785573160628538,0.38295330649366083,30.728040237110907,21.86573158940184,0.07088127150508827,0.026858307657263086,0.015404975494841981,0.006768428473888142
RK45,15,strict,0.05,0.533906221543543,0.26354641958549924,30.728040237110907,21.86573158940184,0.06754247096465249,0.025759672812326516,0.014871966656155974,0.0069436668659592915
RK45,15,strict,0.1,0.46658948032922154,0.23932420172393934,30.728040237110907,21.86573158940184,0.06336217211357244,0.023948233397375385,0.014314946077266001,0.0070113920733806245
