,,,,time,time,std_time,std_time,error_sum_metric,error_sum_metric,error_max_metric,error_max_metric
,,,,mean,std,mean,std,mean,std,mean,std
ode_method,stations_per_cell,spatial_simplification,delta_t_ratio_or_epsilon,,,,,,,,
BDF,5,parallel,0.25,28.721347084287554,10.328028965244888,522.2594722779654,284.29875734728614,0.0006316922640567195,7.376372839138138e-05,3.4168607439618796e-05,9.679409056670008e-06
BDF,5,parallel,0.5,26.92101875256747,8.730508957777868,522.2594722779654,284.29875734728614,0.0007077548986956925,0.000157350460964023,4.701072345236475e-05,2.106341534606121e-05
BDF,5,parallel,1.0,26.870167310032993,8.607175090777462,522.2594722779654,284.29875734728614,0.0007149950139940335,0.00016958460650865615,4.831619120516366e-05,2.3013444717526247e-05
BDF,5,parallel,2.0,23.72826809193939,9.123438172145667,522.2594722779654,284.29875734728614,0.0020522701757775476,0.000993184405904641,0.00026139620966815773,0.0001552985565658394
BDF,5,parallel_limit,0.25,27.53619266591966,8.930290582566078,522.2594722779654,284.29875734728614,0.010049082125015067,0.003926827473885908,0.001239966001869622,0.0004264215392569135
BDF,5,parallel_limit,0.5,27.43508331682533,8.94523328941139,522.2594722779654,284.29875734728614,0.010050366413508482,0.0039265197886977675,0.0012401059654387557,0.0004262124562839892
BDF,5,parallel_limit,1.0,26.40479963796213,9.152346863018655,522.2594722779654,284.29875734728614,0.010082975633556202,0.003919342764963209,0.0012464757448883814,0.000426687103408334
BDF,5,parallel_limit,2.0,24.36707941768691,7.985297701318173,522.2594722779654,284.29875734728614,0.010269826267616022,0.0038980910451850625,0.0012877362485919374,0.00042078244791935766
BDF,10,parallel,0.25,63.04700077462942,25.46276252120855,522.2594722779654,284.29875734728614,0.0005956393034730325,8.29086744315255e-05,3.306562423335958e-05,9.30087203858989e-06
BDF,10,parallel,0.5,60.85549299776554,22.87446017691452,522.2594722779654,284.29875734728614,0.0006334646186361035,0.00013734165288598648,3.943240471919545e-05,1.7105885631277725e-05
BDF,10,parallel,1.0,60.72008223246783,22.948854894342468,522.2594722779654,284.29875734728614,0.000635407344284009,0.00013555390907208967,3.9855763768427827e-05,1.709310756848222e-05
BDF,10,parallel,2.0,51.375858905036004,21.547246795243016,522.2594722779654,284.29875734728614,0.0019768969129471932,0.000891859366131031,0.0002529609070713276,0.00013157072179090668
BDF,10,parallel_limit,0.25,62.183819626066835,25.648623386522193,522.2594722779654,284.29875734728614,0.010213477734168648,0.004569490874880497,0.0013015843145793092,0.0005028173036491383
BDF,10,parallel_limit,0.5,61.271740294918416,25.668554097362378,522.2594722779654,284.29875734728614,0.010214961478758468,0.00456959937419981,0.001301975449720143,0.0005026801184031958
BDF,10,parallel_limit,1.0,57.68591387359425,24.545595300210906,522.2594722779654,284.29875734728614,0.01024253255175497,0.004568561462244486,0.0013081196364198213,0.0005042926273842123
BDF,10,parallel_limit,2.0,54.581444313060494,21.014361460492882,522.2594722779654,284.29875734728614,0.01033540428027357,0.004509383856493093,0.0013291900205465049,0.0004902442159170334
BDF,15,parallel,0.25,108.26112629791722,40.23045952388008,522.2594722779654,284.29875734728614,0.0005504099314803725,8.557218884671679e-05,3.031718269879274e-05,9.086447203803435e-06
BDF,15,parallel,0.5,106.51284778673202,37.21755647254748,522.2594722779654,284.29875734728614,0.000566658885167987,0.00011593331509445051,3.303212900535937e-05,1.3260291720629617e-05
BDF,15,parallel,1.0,105.24588714085519,38.31041825989223,522.2594722779654,284.29875734728614,0.000605897581217696,0.00015059474029664662,4.05213481019123e-05,2.7297485078324357e-05
BDF,15,parallel,2.0,87.30559697121382,32.107574788064525,522.2594722779654,284.29875734728614,0.0017689439982349557,0.0007847691605997996,0.00022414137196328127,0.000108007050940087
BDF,15,parallel_limit,0.25,107.73597232576459,41.381657187428175,522.2594722779654,284.29875734728614,0.009390015039340754,0.004628180835354541,0.0012620330361216405,0.0005528393092326964
BDF,15,parallel_limit,0.5,105.74514714678749,41.51435453415961,522.2594722779654,284.29875734728614,0.00939258340103455,0.00462829787294135,0.001262814559657261,0.0005530869237643542
BDF,15,parallel_limit,1.0,100.20423462329433,41.04520162015443,522.2594722779654,284.29875734728614,0.009415209735816565,0.004623876644611661,0.0012672969616716115,0.0005532006276213447
BDF,15,parallel_limit,2.0,95.57118418054655,33.62869789400152,522.2594722779654,284.29875734728614,0.009481101117412825,0.004570185965721695,0.0012785277838379186,0.0005431926213848452
RK45,5,parallel,0.25,14.17237118538469,3.0480124494026026,19.125687195267528,3.390271561980573,0.000653422343879936,7.204155150350356e-05,3.5024372316980484e-05,9.853668206499559e-06
RK45,5,parallel,0.5,13.14909131873399,2.0455786209888607,19.125687195267528,3.390271561980573,0.0007302731791940204,0.00015808040585904858,4.836126129616058e-05,2.151939927984429e-05
RK45,5,parallel,1.0,13.084491567350923,2.030160661912523,19.125687195267528,3.390271561980573,0.0007375125581497285,0.00017065675031618992,4.968666410286037e-05,2.3504717469064426e-05
RK45,5,parallel,2.0,10.823961086217315,2.6400655625796534,19.125687195267528,3.390271561980573,0.0020849007297603236,0.0009887754014874719,0.0002647818400870699,0.00015462134562419422
RK45,5,parallel_limit,0.25,14.098844297435134,2.2768561003568535,19.125687195267528,3.390271561980573,0.010075822703114863,0.00392922152494745,0.001241722034292813,0.00042663426914908215
RK45,5,parallel_limit,0.5,13.969417473748326,2.2432505806135192,19.125687195267528,3.390271561980573,0.010077105519271198,0.003928907426417121,0.001241862254286833,0.0004264231730307987
RK45,5,parallel_limit,1.0,13.206975122299045,2.7025142228386856,19.125687195267528,3.390271561980573,0.010109732033032332,0.003921694747815867,0.0012481581494086455,0.00042694165121632996
RK45,5,parallel_limit,2.0,11.754668693765998,1.8841102805897636,19.125687195267528,3.390271561980573,0.010296911719529718,0.003900644238118839,0.0012893738502758015,0.0004209040937562858
RK45,10,parallel,0.25,18.61418370295316,3.806972780514034,19.125687195267528,3.390271561980573,0.000609302265760202,7.909550741883247e-05,3.375403103698952e-05,9.523968968148889e-06
RK45,10,parallel,0.5,17.856984199397267,2.9098269340630933,19.125687195267528,3.390271561980573,0.000647129578583979,0.00013509118294467655,4.032517515690858e-05,1.7593448852053404e-05
RK45,10,parallel,1.0,17.87125643203035,2.962588139297316,19.125687195267528,3.390271561980573,0.0006490717493465275,0.00013337781054395938,4.078938517841369e-05,1.7603255262796615e-05
RK45,10,parallel,2.0,14.24221005205065,3.178995788194729,19.125687195267528,3.390271561980573,0.0019927701509181188,0.0008933416200849267,0.0002547443286941115,0.0001319387835145964
RK45,10,parallel_limit,0.25,19.05893511172384,3.9415284443361327,19.125687195267528,3.390271561980573,0.01023411899060639,0.00457185352614891,0.0013031703175574343,0.0005032334102440516
RK45,10,parallel_limit,0.5,18.66207344837487,3.9135550561736783,19.125687195267528,3.390271561980573,0.010235615711102397,0.004571986772415517,0.0013035432680110195,0.0005031064534060591
RK45,10,parallel_limit,1.0,17.31373426683247,4.024485484065731,19.125687195267528,3.390271561980573,0.010263188308747197,0.0045709378459268145,0.0013097303357164775,0.0005046784013947116
RK45,10,parallel_limit,2.0,16.241796305701136,2.799424247472164,19.125687195267528,3.390271561980573,0.010356057875034708,0.004511748812969325,0.001330694605788945,0.000490645952307328
RK45,15,parallel,0.25,24.340013549048454,4.588887105948718,19.125687195267528,3.390271561980573,0.0005599485124170825,8.478401485312788e-05,3.095315906585172e-05,9.192477427926602e-06
RK45,15,parallel,0.5,23.880126973558216,3.936446265254357,19.125687195267528,3.390271561980573,0.000576228135574451,0.0001151689340764623,3.3743148067040994e-05,1.3338982895781307e-05
