model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,190.1919112860005,46.40655408600014,0.007578133738026513
0,discrete_step,none,RK45,5,0.1,0.4006846559912722,28.415279644000293,46.40655408600014,0.0065567326840809655
0,discrete_step,none,RK45,5,0.05,0.2003423279956361,36.69133027499993,46.40655408600014,0.004376850365064135
0,discrete_step,none,RK45,5,0.025,0.10017116399781804,47.494504606999726,46.40655408600014,0.0027433995298472838
0,traj_iteration,none,RK45,10,0,0,347.1486928510003,46.40655408600014,0.0074311004241725915
0,discrete_step,none,RK45,10,0.1,0.4006846559912722,50.766062020999925,46.40655408600014,0.0062671261576208
0,discrete_step,none,RK45,10,0.05,0.2003423279956361,63.13410405899958,46.40655408600014,0.00422871154738108
0,discrete_step,none,RK45,10,0.025,0.10017116399781804,80.28057673200055,46.40655408600014,0.0027433995298472838
0,traj_iteration,none,RK45,15,0,0,486.7441984870002,46.40655408600014,0.0074311004241725915
0,discrete_step,none,RK45,15,0.1,0.4006846559912722,75.51610264699957,46.40655408600014,0.0062671261576208
0,discrete_step,none,RK45,15,0.05,0.2003423279956361,95.77497951399982,46.40655408600014,0.004080271791588723
0,discrete_step,none,RK45,15,0.025,0.10017116399781804,118.42532218999986,46.40655408600014,0.0025945571228964915
0,traj_iteration,none,BDF,5,0,0,33501.095064857,7562.149815137999,0.007430614939366978
0,discrete_step,none,BDF,5,0.1,0.4006846559912722,10568.927025491,7562.149815137999,0.0065562183453657386
0,discrete_step,none,BDF,5,0.05,0.2003423279956361,15749.292121527003,7562.149815137999,0.004376404597952033
