model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,372.7092638090253,122.3501119017601,0.007843034720498332
0,discrete_step,none,RK45,5,0.1,0.4022203373348753,48.63766457885504,122.3501119017601,0.006719649651417809
0,discrete_step,none,RK45,5,0.05,0.20111016866743764,62.63898891955614,122.3501119017601,0.004513734894952313
0,discrete_step,none,RK45,5,0.025,0.10055508433371882,79.90116909891367,122.3501119017601,0.0028335348668069105
0,traj_iteration,none,RK45,10,0,0,448.87928276881576,122.3501119017601,0.007843034720498332
0,discrete_step,none,RK45,10,0.1,0.4022203373348753,65.02480786666274,122.3501119017601,0.006719649651417809
0,discrete_step,none,RK45,10,0.05,0.20111016866743764,81.8933475650847,122.3501119017601,0.004375215577831946
0,discrete_step,none,RK45,10,0.025,0.10055508433371882,101.17752880603075,122.3501119017601,0.0028335348668069105
0,traj_iteration,none,RK45,15,0,0,673.1300984025002,122.3501119017601,0.007558982733721359
0,discrete_step,none,RK45,15,0.1,0.4022203373348753,95.62332044914365,122.3501119017601,0.006304760967808312
0,discrete_step,none,RK45,15,0.05,0.20111016866743764,116.89933344349265,122.3501119017601,0.003958223473198517
0,discrete_step,none,RK45,15,0.025,0.10055508433371882,138.95998932793736,122.3501119017601,0.002563167628506331
0,traj_iteration,none,BDF,5,0,0,2111.5565267391503,4554.811419732869,0.00784272906942287
0,discrete_step,none,BDF,5,0.1,0.4022203373348753,418.476816046983,4554.811419732869,0.006719189069404003
0,discrete_step,none,BDF,5,0.05,0.20111016866743764,730.0460801199079,4554.811419732869,0.00451321444524946
0,discrete_step,none,BDF,5,0.025,0.10055508433371882,1291.4831703305244,4554.811419732869,0.0028329754162366187
0,traj_iteration,none,BDF,10,0,0,3298.4503791555762,4554.811419732869,0.00784272906942287
0,discrete_step,none,BDF,10,0.1,0.4022203373348753,770.2384940721095,4554.811419732869,0.006719189069404003
0,discrete_step,none,BDF,10,0.05,0.20111016866743764,1315.4044283032417,4554.811419732869,0.004374673444289313
0,discrete_step,none,BDF,10,0.025,0.10055508433371882,2270.48813136667,4554.811419732869,0.0028329754162366187
0,traj_iteration,none,BDF,15,0,0,4835.520513065159,4554.811419732869,0.00755864141645545
0,discrete_step,none,BDF,15,0.1,0.4022203373348753,1154.8011940009892,4554.811419732869,0.006304284522270376
0,discrete_step,none,BDF,15,0.05,0.20111016866743764,1987.4031254202127,4554.811419732869,0.0039576548872991245
0,discrete_step,none,BDF,15,0.025,0.10055508433371882,3350.3663866482675,4554.811419732869,0.0025626154364820145
1,traj_iteration,none,RK45,5,0,0,424.6290692947805,153.40685333684087,0.006330011751402595
1,discrete_step,none,RK45,5,0.1,0.4021864690746571,62.56721092388034,153.40685333684087,0.005849780632258281
1,discrete_step,none,RK45,5,0.05,0.20109323453732855,80.79925944656134,153.40685333684087,0.0039398907967139124
1,discrete_step,none,RK45,5,0.025,0.10054661726866428,102.85055994987488,153.40685333684087,0.002503422825600621
1,traj_iteration,none,RK45,10,0,0,730.1958809010684,153.40685333684087,0.006330011751402595
1,discrete_step,none,RK45,10,0.1,0.4021864690746571,102.43022305518389,153.40685333684087,0.005689983252484591
1,discrete_step,none,RK45,10,0.05,0.20109323453732855,128.29070049896836,153.40685333684087,0.003797881799970073
1,discrete_step,none,RK45,10,0.025,0.10054661726866428,154.46603928506374,153.40685333684087,0.0023579709650053834
1,traj_iteration,none,RK45,15,0,0,1072.3279969021678,153.40685333684087,0.006330011751402595
1,discrete_step,none,RK45,15,0.1,0.4021864690746571,145.27983067557216,153.40685333684087,0.005689983252484591
1,discrete_step,none,RK45,15,0.05,0.20109323453732855,177.71823251247406,153.40685333684087,0.0036555903335774914
1,discrete_step,none,RK45,15,0.025,0.10054661726866428,211.50861091911793,153.40685333684087,0.0023579709650053834
1,traj_iteration,none,BDF,5,0,0,2585.8124389350414,7925.65021744743,0.006329895854109472
1,discrete_step,none,BDF,5,0.1,0.4021864690746571,629.5892117507756,7925.65021744743,0.005849653305001501
1,discrete_step,none,BDF,5,0.05,0.20109323453732855,1063.2725732252002,7925.65021744743,0.00393963656031795
1,discrete_step,none,BDF,5,0.025,0.10054661726866428,1950.302844941616,7925.65021744743,0.002503223569216089
1,traj_iteration,none,BDF,10,0,0,4372.283507823944,7925.65021744743,0.006329895854109472
1,discrete_step,none,BDF,10,0.1,0.4021864690746571,1080.4481617547572,7925.65021744743,0.00568984879043028
1,discrete_step,none,BDF,10,0.05,0.20109323453732855,1909.5542984828353,7925.65021744743,0.003797578074196095
1,discrete_step,none,BDF,10,0.025,0.10054661726866428,3528.49711920321,7925.65021744743,0.0023577755519249436
1,traj_iteration,none,BDF,15,0,0,5048.001125216484,7925.65021744743,0.006329895854109472
1,discrete_step,none,BDF,15,0.1,0.4021864690746571,1492.1103249117732,7925.65021744743,0.00568984879043028
1,discrete_step,none,BDF,15,0.05,0.20109323453732855,2570.587548546493,7925.65021744743,0.003655256658760829
1,discrete_step,none,BDF,15,0.025,0.10054661726866428,5039.390607975423,7925.65021744743,0.0023577755519249436
2,traj_iteration,none,RK45,5,0,0,401.7033408507705,139.16262919455767,0.006593659727260128
2,discrete_step,none,RK45,5,0.1,0.4007303719984643,59.15348230674863,139.16262919455767,0.005865625159578379
2,discrete_step,none,RK45,5,0.05,0.20036518599923214,76.0634446144104,139.16262919455767,0.003955084593865568
2,discrete_step,none,RK45,5,0.025,0.10018259299961607,96.46920028328896,139.16262919455767,0.0024849041068766018
2,traj_iteration,none,RK45,10,0,0,870.0343529358506,139.16262919455767,0.006292919500863694
2,discrete_step,none,RK45,10,0.1,0.4007303719984643,121.44117441773415,139.16262919455767,0.005565151319161099
2,discrete_step,none,RK45,10,0.05,0.20036518599923214,149.03865576162934,139.16262919455767,0.0036638234187951575
2,discrete_step,none,RK45,10,0.025,0.10018259299961607,176.1721254773438,139.16262919455767,0.0023385836791647093
2,traj_iteration,none,RK45,15,0,0,1095.6581609472632,139.16262919455767,0.006167877100086901
2,discrete_step,none,RK45,15,0.1,0.4007303719984643,149.6617095656693,139.16262919455767,0.005565151319161099
2,discrete_step,none,RK45,15,0.05,0.20036518599923214,183.9105353578925,139.16262919455767,0.0035048856574651397
2,discrete_step,none,RK45,15,0.025,0.10018259299961607,212.9523649327457,139.16262919455767,0.0023385836791647093
2,traj_iteration,none,BDF,5,0,0,2270.319574791938,5078.831007473171,0.006593552556988595
2,discrete_step,none,BDF,5,0.1,0.4007303719984643,561.6312203221023,5078.831007473171,0.005865616310923926
2,discrete_step,none,BDF,5,0.05,0.20036518599923214,981.2454318925738,5078.831007473171,0.003954973362851512
2,discrete_step,none,BDF,5,0.025,0.10018259299961607,1782.954808883369,5078.831007473171,0.0024847871161003906
2,traj_iteration,none,BDF,10,0,0,4519.27312745899,5078.831007473171,0.006292835942004828
2,discrete_step,none,BDF,10,0.1,0.4007303719984643,989.7214277386665,5078.831007473171,0.005565159864353317
2,discrete_step,none,BDF,10,0.05,0.20036518599923214,1840.887544710189,5078.831007473171,0.0036636859205445033
2,discrete_step,none,BDF,10,0.025,0.10018259299961607,3303.2012798301876,5078.831007473171,0.002338467326691211
2,traj_iteration,none,BDF,15,0,0,5523.886366534978,5078.831007473171,0.006167811473450526
2,discrete_step,none,BDF,15,0.1,0.4007303719984643,1454.8398908786476,5078.831007473171,0.005565159864353317
2,discrete_step,none,BDF,15,0.05,0.20036518599923214,2709.083395510912,5078.831007473171,0.003504777546566517
2,discrete_step,none,BDF,15,0.025,0.10018259299961607,5191.267064478248,5078.831007473171,0.002338467326691211
3,traj_iteration,none,RK45,5,0,0,679.9271580055356,170.78557726740837,0.005388750932278738
3,discrete_step,none,RK45,5,0.1,0.4001416192311774,95.77324511483312,170.78557726740837,0.0052223727283715205
3,discrete_step,none,RK45,5,0.05,0.2000708096155887,122.75809053704143,170.78557726740837,0.0035658723660694724
3,discrete_step,none,RK45,5,0.025,0.10003540480779435,151.0047607086599,170.78557726740837,0.002232070182069654
3,traj_iteration,none,RK45,10,0,0,1179.1088727973402,170.78557726740837,0.005056499162964036
3,discrete_step,none,RK45,10,0.1,0.4001416192311774,155.5500185266137,170.78557726740837,0.005056499162964036
