model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,685.9950352720916,165.38701234012842,0.00536326598620457
0,discrete_step,none,RK45,5,0.1,0.3995563047441144,89.51185574755073,165.38701234012842,0.0052176431069436415
0,discrete_step,none,RK45,5,0.05,0.1997781523720572,109.6003996655345,165.38701234012842,0.003364662683443423
0,discrete_step,none,RK45,5,0.025,0.0998890761860286,134.95176373422146,165.38701234012842,0.0020965733218799663
0,traj_iteration,none,RK45,10,0,0,1356.3287551775575,165.38701234012842,0.00525431029803038
0,discrete_step,none,RK45,10,0.1,0.3995563047441144,198.51706191897392,165.38701234012842,0.005098528289318684
0,discrete_step,none,RK45,10,0.05,0.1997781523720572,235.5662993863225,165.38701234012842,0.0032602082483865484
0,discrete_step,none,RK45,10,0.025,0.0998890761860286,273.1578007340431,165.38701234012842,0.0020359278268788973
0,traj_iteration,none,RK45,15,0,0,1512.2675433121622,165.38701234012842,0.0051333287901001
0,discrete_step,none,RK45,15,0.1,0.3995563047441144,218.5149339772761,165.38701234012842,0.004977553675604579
0,discrete_step,none,RK45,15,0.05,0.1997781523720572,257.484439894557,165.38701234012842,0.003132147169383869
0,discrete_step,none,RK45,15,0.025,0.0998890761860286,291.70086259022355,165.38701234012842,0.0019480395205270875
0,traj_iteration,none,BDF,5,0,0,3265.2375389039516,13654.951895657927,0.005363204512909186
0,discrete_step,none,BDF,5,0.1,0.3995563047441144,925.0858988724649,13654.951895657927,0.005217583108721132
0,discrete_step,none,BDF,5,0.05,0.1997781523720572,1560.8278861679137,13654.951895657927,0.0033646114456797067
0,discrete_step,none,BDF,5,0.025,0.0998890761860286,2777.6055991612375,13654.951895657927,0.0020964504654819326
0,traj_iteration,none,BDF,10,0,0,6637.670206040144,13654.951895657927,0.005254315955721025
0,discrete_step,none,BDF,10,0.1,0.3995563047441144,1613.0465673431754,13654.951895657927,0.005098572272903368
0,discrete_step,none,BDF,10,0.05,0.1997781523720572,2760.5310271009803,13654.951895657927,0.003260113304450438
0,discrete_step,none,BDF,10,0.025,0.0998890761860286,4925.575450010598,13654.951895657927,0.002035892471219841
0,traj_iteration,none,BDF,15,0,0,10136.791889924556,13654.951895657927,0.0051332489133909115
0,discrete_step,none,BDF,15,0.1,0.3995563047441144,4519.8473731689155,13654.951895657927,0.004977479705150343
0,discrete_step,none,BDF,15,0.05,0.1997781523720572,11769.694044850767,13654.951895657927,0.0031320626230058155
0,discrete_step,none,BDF,15,0.025,0.0998890761860286,33290.9541689232,13654.951895657927,0.001947874142317286
1,traj_iteration,none,RK45,5,0,0,1250.7348615713418,207.79645244404674,0.007843034720498332
1,discrete_step,none,RK45,5,0.1,0.4022203373348753,142.0017612092197,207.79645244404674,0.006719649651417809
1,discrete_step,none,RK45,5,0.05,0.20111016866743764,188.84169480204582,207.79645244404674,0.004513734894952313
1,discrete_step,none,RK45,5,0.025,0.10055508433371882,239.33793242275715,207.79645244404674,0.0028335348668069105
1,traj_iteration,none,RK45,10,0,0,1180.552733760327,207.79645244404674,0.007843034720498332
1,discrete_step,none,RK45,10,0.1,0.4022203373348753,161.9448400400579,207.79645244404674,0.006719649651417809
1,discrete_step,none,RK45,10,0.05,0.20111016866743764,197.9408905915916,207.79645244404674,0.004375215577831946
1,discrete_step,none,RK45,10,0.025,0.10055508433371882,248.21653071418405,207.79645244404674,0.0028335348668069105
1,traj_iteration,none,RK45,15,0,0,1429.3205471634865,207.79645244404674,0.007558982733721359
1,discrete_step,none,RK45,15,0.1,0.4022203373348753,205.06053905561566,207.79645244404674,0.006304760967808312
1,discrete_step,none,RK45,15,0.05,0.20111016866743764,247.94300363957882,207.79645244404674,0.003958223473198517
1,discrete_step,none,RK45,15,0.025,0.10055508433371882,312.8207222484052,207.79645244404674,0.002563167628506331
