model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio,delta_t,time,std_time,error
0,traj_iteration,none,RK45,5,0,0,364.7020289674401,101.184838604182,0.006485895428865782
0,discrete_step,none,RK45,5,0.1,0.40136685298163005,44.28078135848045,101.184838604182,0.0058338181390776974
0,discrete_step,none,RK45,5,0.05,0.20068342649081503,57.18355306610465,101.184838604182,0.0037702061122539274
0,discrete_step,none,RK45,5,0.025,0.10034171324540751,73.37862276285887,101.184838604182,0.0024292911656964822
0,traj_iteration,none,RK45,10,0,0,643.448018334806,101.184838604182,0.006309973771774139
0,discrete_step,none,RK45,10,0.1,0.40136685298163005,87.44906281679869,101.184838604182,0.005530362651090311
0,discrete_step,none,RK45,10,0.05,0.20068342649081503,108.82210585847497,101.184838604182,0.003596152309220403
0,discrete_step,none,RK45,10,0.025,0.10034171324540751,130.3137741573155,101.184838604182,0.0023733297550546425
0,traj_iteration,none,RK45,15,0,0,959.3570100702345,101.184838604182,0.006134655216682195
0,discrete_step,none,RK45,15,0.1,0.40136685298163005,113.62619700655341,101.184838604182,0.005264734277200897
0,discrete_step,none,RK45,15,0.05,0.20068342649081503,140.0367090627551,101.184838604182,0.0034840050820967297
0,discrete_step,none,RK45,15,0.025,0.10034171324540751,165.93963101506233,101.184838604182,0.0023223636043176285
0,traj_iteration,none,BDF,5,0,0,1942.7311722487211,4389.049752835184,0.006485849704101125
0,discrete_step,none,BDF,5,0.1,0.40136685298163005,419.22771928459406,4389.049752835184,0.005833752240712977
0,discrete_step,none,BDF,5,0.05,0.20068342649081503,728.7682583294809,4389.049752835184,0.003770015030433475
0,discrete_step,none,BDF,5,0.025,0.10034171324540751,1339.0400678478181,4389.049752835184,0.0024289508642713594
0,traj_iteration,none,BDF,10,0,0,3243.706939779222,4389.049752835184,0.006309930387161033
0,discrete_step,none,BDF,10,0.1,0.40136685298163005,726.0408353731036,4389.049752835184,0.00553026650890618
0,discrete_step,none,BDF,10,0.05,0.20068342649081503,1325.120391163975,4389.049752835184,0.00359581200779528
0,discrete_step,none,BDF,10,0.025,0.10034171324540751,2355.1488558351994,4389.049752835184,0.0023731417179553554
0,traj_iteration,none,BDF,15,0,0,4263.895377069712,4389.049752835184,0.006134580260539654
0,discrete_step,none,BDF,15,0.1,0.40136685298163005,1085.6898719780147,4389.049752835184,0.005239089092773578
0,discrete_step,none,BDF,15,0.05,0.20068342649081503,1934.1679049097002,4389.049752835184,0.0034838997840974475
0,discrete_step,none,BDF,15,0.025,0.10034171324540751,3429.7601064294577,4389.049752835184,0.0023222569879176487
1,traj_iteration,none,RK45,5,0,0,302.85661889985204,96.48781799152493,0.007431295341231857
1,discrete_step,none,RK45,5,0.1,0.40051815636984356,36.93461325392127,96.48781799152493,0.006368965874446938
1,discrete_step,none,RK45,5,0.05,0.20025907818492178,47.47342548891902,96.48781799152493,0.004021421615965391
1,discrete_step,none,RK45,5,0.025,0.10012953909246089,61.90884382650256,96.48781799152493,0.002669993518380597
1,traj_iteration,none,RK45,10,0,0,476.77481926977634,96.48781799152493,0.007431295341231857
1,discrete_step,none,RK45,10,0.1,0.40051815636984356,57.84558904543519,96.48781799152493,0.0061085281926212456
1,discrete_step,none,RK45,10,0.05,0.20025907818492178,72.55161257460713,96.48781799152493,0.003889621347735029
1,discrete_step,none,RK45,10,0.025,0.10012953909246089,88.34909538179636,96.48781799152493,0.0026065166545188147
1,traj_iteration,none,RK45,15,0,0,795.7172712087631,96.48781799152493,0.007431295341231857
1,discrete_step,none,RK45,15,0.1,0.40051815636984356,95.43615102022886,96.48781799152493,0.0061085281926212456
1,discrete_step,none,RK45,15,0.05,0.20025907818492178,116.63117014244199,96.48781799152493,0.0037576658849009822
1,discrete_step,none,RK45,15,0.025,0.10012953909246089,135.79671047627926,96.48781799152493,0.0024979326477953066
1,traj_iteration,none,BDF,5,0,0,1291.2333220392466,3436.7397726476192,0.007431070913254788
1,discrete_step,none,BDF,5,0.1,0.40051815636984356,334.3944032564759,3436.7397726476192,0.006368616313296126
1,discrete_step,none,BDF,5,0.05,0.20025907818492178,599.1238976344466,3436.7397726476192,0.004021027969527213
1,discrete_step,none,BDF,5,0.025,0.10012953909246089,1030.959130551666,3436.7397726476192,0.0026695262813353506
1,traj_iteration,none,BDF,10,0,0,2598.8832380510867,3436.7397726476192,0.007431070913254788
1,discrete_step,none,BDF,10,0.1,0.40051815636984356,566.8396480716765,3436.7397726476192,0.006108131968668637
1,discrete_step,none,BDF,10,0.05,0.20025907818492178,996.8718832209706,3436.7397726476192,0.0038892188311845195
1,discrete_step,none,BDF,10,0.025,0.10012953909246089,1767.0228887610137,3436.7397726476192,0.002497541752726084
1,traj_iteration,none,BDF,15,0,0,4230.109368789941,3436.7397726476192,0.007431070913254788
1,discrete_step,none,BDF,15,0.1,0.40051815636984356,940.6297353841364,3436.7397726476192,0.006108131968668637
1,discrete_step,none,BDF,15,0.05,0.20025907818492178,1560.2497287876904,3436.7397726476192,0.0037572475278837857
1,discrete_step,none,BDF,15,0.025,0.10012953909246089,2756.162057518959,3436.7397726476192,0.002497541752726084
2,traj_iteration,none,RK45,5,0,0,379.4190686419606,115.88503793999553,0.006589428336546895
2,discrete_step,none,RK45,5,0.1,0.40089961262750623,45.73063046857715,115.88503793999553,0.005649907431424747
2,discrete_step,none,RK45,5,0.05,0.20044980631375311,58.77213402837515,115.88503793999553,0.0037040892868772392
