model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,71,traj_iteration,strict,RK45,5,2,9,12.241379667073488,42.811740916222334,0.048834613826409363,0.02170294124109023
0,71,traj_iteration,strict,RK45,5,1,10,13.327080328017473,42.811740916222334,0.048715708033681825,0.021764812985056475
0,71,traj_iteration,strict,RK45,5,0.5,11,14.412654925137758,42.811740916222334,0.04868690083235617,0.021770365589088167
0,71,traj_iteration,none,RK45,5,2,5,94.28667058423162,42.811740916222334,0.018017992534488197,0.004042439784058041
0,71,traj_iteration,none,RK45,5,1,7,131.26791581884027,42.811740916222334,0.007954349757126776,0.0016161090160295194
0,71,traj_iteration,none,RK45,5,0.5,8,149.63096019998193,42.811740916222334,0.005043626870166122,0.0009604201350999902
0,71,discrete_step,strict,RK45,5,0.1,0.406437773048791,1.719068817794323,42.811740916222334,0.05738840798678115,0.01109428690390798
0,71,discrete_step,none,RK45,5,0.1,0.406437773048791,19.921859622001648,42.811740916222334,0.035554187168422485,0.00965346482381852
0,71,discrete_step,strict,RK45,5,0.05,0.2032188865243955,2.0482375137507915,42.811740916222334,0.06125425033526753,0.011753443860761364
0,71,discrete_step,none,RK45,5,0.05,0.2032188865243955,25.8625186085701,42.811740916222334,0.02063567988168929,0.006185434928462139
0,71,discrete_step,strict,RK45,5,0.025,0.10160944326219774,3.015857443213463,42.811740916222334,0.0649714580854552,0.012720927635371361
0,71,discrete_step,none,RK45,5,0.025,0.10160944326219774,34.50525252148509,42.811740916222334,0.010757375547267101,0.003661728625510823
0,71,traj_iteration,strict,RK45,10,2,9,6.488643765449524,42.811740916222334,0.03226692750406121,0.023220232058338338
0,71,traj_iteration,strict,RK45,10,1,10,7.088131286203861,42.811740916222334,0.03204340018710393,0.023229106771997597
0,71,traj_iteration,strict,RK45,10,0.5,11,7.6775353364646435,42.811740916222334,0.0319664494398768,0.023226180298134374
0,71,traj_iteration,none,RK45,10,2,5,91.37752129137516,42.811740916222334,0.01558165946567336,0.0034130354255265992
0,71,traj_iteration,none,RK45,10,1,7,127.43477533385158,42.811740916222334,0.00618389761861756,0.0011887545954612014
0,71,traj_iteration,none,RK45,10,0.5,8,145.33943090960383,42.811740916222334,0.003747956656510083,0.0006973204408603348
0,71,discrete_step,strict,RK45,10,0.1,0.406437773048791,0.9241508580744267,42.811740916222334,0.05804506895462188,0.011993159044578166
0,71,discrete_step,none,RK45,10,0.1,0.406437773048791,19.64658461138606,42.811740916222334,0.03304157633037112,0.008918971039501034
0,71,discrete_step,strict,RK45,10,0.05,0.2032188865243955,1.085816465318203,42.811740916222334,0.06199012599020966,0.012696771923135518
0,71,discrete_step,none,RK45,10,0.05,0.2032188865243955,25.668498691171408,42.811740916222334,0.018914780289721708,0.005686326415631714
0,71,discrete_step,strict,RK45,10,0.025,0.10160944326219774,1.5728162489831448,42.811740916222334,0.06551343996906475,0.013436685151509366
0,71,discrete_step,none,RK45,10,0.025,0.10160944326219774,34.15294266119599,42.811740916222334,0.009755852245696885,0.003334811972113088
0,71,traj_iteration,strict,RK45,15,2,9,4.831492159515619,42.811740916222334,0.02599235074986683,0.01134094922990465
0,71,traj_iteration,strict,RK45,15,1,10,5.286474764347076,42.811740916222334,0.025920700251276307,0.011340954791829398
0,71,traj_iteration,strict,RK45,15,0.5,11,5.734526727348566,42.811740916222334,0.025883680134266437,0.011340955101309898
0,71,traj_iteration,none,RK45,15,2,5,132.09861907735467,42.811740916222334,0.013393972320915246,0.002977505908632063
0,71,traj_iteration,none,RK45,15,1,6,157.98584878444672,42.811740916222334,0.008191255298051425,0.0017123973392329196
0,71,traj_iteration,none,RK45,15,0.5,7,184.16138066351414,42.811740916222334,0.0048078686906754585,0.0009275912468721104
0,71,discrete_step,strict,RK45,15,0.1,0.406437773048791,0.6986835226416588,42.811740916222334,0.057944110302094794,0.011727754759925869
0,71,discrete_step,none,RK45,15,0.1,0.406437773048791,28.080388471484184,42.811740916222334,0.03075369714432085,0.008570722096097988
0,71,discrete_step,strict,RK45,15,0.05,0.2032188865243955,0.8170857205986977,42.811740916222334,0.06215402598092176,0.012330939059728105
0,71,discrete_step,none,RK45,15,0.05,0.2032188865243955,34.784083254635334,42.811740916222334,0.017400615607148846,0.005422611998204343
0,71,discrete_step,strict,RK45,15,0.025,0.10160944326219774,1.1850964240729809,42.811740916222334,0.06555499978738788,0.01319393044829894
0,71,discrete_step,none,RK45,15,0.025,0.10160944326219774,45.87594540044665,42.811740916222334,0.008911436064949398,0.003148626405393917
0,71,traj_iteration,strict,BDF,5,2,9,18.951156921684742,1141.4415842480958,0.048806359628255414,0.021636691982274598
0,71,traj_iteration,strict,BDF,5,1,10,20.791733127087355,1141.4415842480958,0.04869879344527126,0.02170521668714307
0,71,traj_iteration,strict,BDF,5,0.5,11,22.616888128221035,1141.4415842480958,0.04867687670828806,0.021711677333075323
