model,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
0,68,traj_iteration,strict,RK45,5,2,9,5.151931307744235,13.137758505064994,0.05644309224159985,0.016264808397052303
0,68,traj_iteration,strict,RK45,5,1,10,5.613393386825919,13.137758505064994,0.056416333457573825,0.016264930212225144
0,68,traj_iteration,strict,RK45,5,0.5,11,6.069691890850663,13.137758505064994,0.05644694425718273,0.01626493247213296
0,68,traj_iteration,none,RK45,5,2,9,79.27643008809537,13.137758505064994,0.0033639814931233965,0.003370376062102294
0,68,traj_iteration,none,RK45,5,1,10,87.88471488235518,13.137758505064994,0.002388889304377985,0.0017603437460219902
0,68,traj_iteration,none,RK45,5,0.5,11,96.52052683196962,13.137758505064994,0.002003330125910567,0.0010327951794993412
0,68,discrete_step,strict,RK45,5,0.1,0.39495047898926705,0.8526982460170984,13.137758505064994,0.06976905083116905,0.015578052686403526
0,68,discrete_step,none,RK45,5,0.1,0.39495047898926705,10.527126232162118,13.137758505064994,0.04560663931946874,0.012843887943497282
0,68,discrete_step,strict,RK45,5,0.05,0.19747523949463353,0.9767832001671195,13.137758505064994,0.07460682474458985,0.015742965982286614
0,68,discrete_step,none,RK45,5,0.05,0.19747523949463353,13.035020099021494,13.137758505064994,0.02884809253014975,0.011829251049643424
0,68,discrete_step,strict,RK45,5,0.025,0.09873761974731676,1.4519881247542799,13.137758505064994,0.07952254043422234,0.015996955677297812
0,68,discrete_step,none,RK45,5,0.025,0.09873761974731676,18.4613403188996,13.137758505064994,0.015632044059117774,0.006221351559768329
0,68,traj_iteration,strict,RK45,10,2,9,2.9289963082410395,13.137758505064994,0.044199720207048085,0.014240831526875282
0,68,traj_iteration,strict,RK45,10,1,10,3.200877819210291,13.137758505064994,0.0442016219304982,0.014240830670109767
0,68,traj_iteration,strict,RK45,10,0.5,11,3.471214762888849,13.137758505064994,0.044194214454381035,0.014240830627356699
0,68,traj_iteration,none,RK45,10,2,9,78.46887075109407,13.137758505064994,0.002271351831179042,0.0019175748917073985
0,68,traj_iteration,none,RK45,10,1,10,86.98789114691317,13.137758505064994,0.0017876355743030037,0.0009971871037926304
0,68,traj_iteration,none,RK45,10,0.5,11,95.60432603489608,13.137758505064994,0.0016276729050777958,0.0006728828760917932
0,68,discrete_step,strict,RK45,10,0.1,0.39495047898926705,0.456327507738024,13.137758505064994,0.07163721234278231,0.015426021579071058
0,68,discrete_step,none,RK45,10,0.1,0.39495047898926705,10.72890620585531,13.137758505064994,0.041913837994815614,0.012693430619839276
